timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1545074287503,0,91,1.99951171875E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287508,0,43,9.448242187500001E-6,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287570,0,43,9.448242187500001E-6,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287574,0,93,2.04345703125E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287610,0,117,2.5708007812499998E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287624,0,53,1.1645507812500002E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287624,0,-280,-6.15234375E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287624,0,-298,-6.5478515625E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287625,0,4,8.7890625E-7,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287625,0,27,5.9326171875000005E-6,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287625,0,-277,-6.0864257812500005E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287625,0,-332,-7.294921875E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287625,0,-347,-7.62451171875E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287625,0,-308,-6.767578125E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287626,0,-275,-6.04248046875E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287626,0,-312,-6.85546875E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287626,0,-376,-8.261718750000001E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287626,0,-139,-3.0541992187500004E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287626,0,-359,-7.88818359375E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287627,0,-317,-6.96533203125E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287627,0,-333,-7.316894531249999E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287627,0,-135,-2.96630859375E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287627,0,-169,-3.7133789062499996E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287627,0,-145,-3.18603515625E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287627,0,-357,-7.844238281250001E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287627,0,-369,-8.10791015625E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287628,0,-164,-3.6035156249999995E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287628,0,-186,-4.0869140625E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287628,0,-148,-3.251953125E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287628,0,-345,-7.58056640625E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287628,0,-337,-7.40478515625E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287628,0,-377,-8.28369140625E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287629,0,-166,-3.6474609375E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287629,0,-154,-3.3837890625E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287629,0,-354,-7.778320312500001E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287629,0,-330,-7.2509765625E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287629,0,-359,-7.88818359375E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287629,0,-132,-2.900390625E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287629,0,-369,-8.10791015625E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287630,0,-322,-7.0751953125E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287630,0,-307,-6.74560546875E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
1545074287630,0,-342,-7.5146484375E-5,60,40,56,6598,5940,2891,15347,53247,10854,16755772,2828,Tag0,unknown
