timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1545011686769,0,-267,-5.86669921875E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686769,0,-260,-5.712890625E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686769,0,-289,-6.35009765625E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686770,0,-316,-6.943359375000001E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686770,0,-313,-6.87744140625E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686770,0,-274,-6.0205078124999997E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686770,0,4,8.7890625E-7,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686770,0,-274,-6.0205078124999997E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686782,0,-293,-6.43798828125E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686782,0,-277,-6.0864257812500005E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686782,0,19,4.1748046875E-6,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686783,0,29,6.3720703125E-6,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686783,0,2,4.39453125E-7,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686783,0,-277,-6.0864257812500005E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686783,0,3,6.591796875E-7,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686783,0,68,1.4941406250000001E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686783,0,112,2.4609375E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686796,0,99,2.1752929687500003E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686797,0,72,1.58203125E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686797,0,60,1.318359375E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
1545011686797,0,81,1.77978515625E-5,43,41,39,1537683,59738,16765782,9886,8739,4015,5809,4174,Tag0,unknown
