timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1545011231848,0,-380,-8.349609375E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231860,0,33,7.2509765625E-6,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231862,0,-108,-2.3730468750000002E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231862,0,81,1.77978515625E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231862,0,-308,-6.767578125E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231862,0,-314,-6.8994140625E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231863,0,82,1.8017578124999998E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231863,0,-70,-1.5380859375E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231863,0,105,2.30712890625E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231876,0,-305,-6.70166015625E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231876,0,-339,-7.448730468750001E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231876,0,51,1.1206054687499999E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231876,0,-69,-1.51611328125E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231877,0,-106,-2.3291015625000003E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231877,0,13,2.8564453125E-6,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231877,0,-296,-6.50390625E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231877,0,64,1.40625E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231877,0,-54,-1.1865234375000001E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231892,0,-79,-1.7358398437500003E-5,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
1545011231892,0,19,4.1748046875E-6,14,24,38,1141639,379661,73023,15553,7835,6948,4419,2779,Tag0,unknown
