timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1545003963060,0,44,9.66796875E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963061,0,58,1.2744140625E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963074,0,93,2.04345703125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963075,0,123,2.70263671875E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963075,0,-110,-2.4169921875E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963075,0,-103,-2.26318359375E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963075,0,-127,-2.79052734375E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963075,0,90,1.9775390625E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963076,0,69,1.51611328125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963076,0,71,1.56005859375E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963076,0,83,1.82373046875E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963090,0,86,1.8896484375000003E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963092,0,90,1.9775390625E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963093,0,87,1.91162109375E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963093,0,65,1.42822265625E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963093,0,35,7.6904296875E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963093,0,35,7.6904296875E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963094,0,53,1.1645507812500002E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963094,0,59,1.29638671875E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963107,0,53,1.1645507812500002E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963107,0,56,1.23046875E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963107,0,69,1.51611328125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963107,0,77,1.69189453125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963108,0,74,1.6259765625E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963108,0,71,1.56005859375E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963108,0,69,1.51611328125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963108,0,65,1.42822265625E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963123,0,51,1.1206054687499999E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963123,0,55,1.20849609375E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963124,0,77,1.69189453125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963124,0,82,1.8017578124999998E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963124,0,73,1.6040039062500002E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963124,0,74,1.6259765625E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963124,0,75,1.64794921875E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963124,0,80,1.7578125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963125,0,81,1.77978515625E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963140,0,77,1.69189453125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963140,0,76,1.669921875E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963140,0,71,1.56005859375E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963140,0,71,1.56005859375E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963141,0,71,1.56005859375E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963141,0,67,1.4721679687500002E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963141,0,51,1.1206054687499999E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963141,0,42,9.228515625000002E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963141,0,52,1.142578125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963156,0,67,1.4721679687500002E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963157,0,66,1.4501953125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963157,0,59,1.29638671875E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963158,0,52,1.142578125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963158,0,43,9.448242187500001E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963158,0,45,9.8876953125E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963158,0,42,9.228515625000002E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963158,0,36,7.91015625E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963173,0,44,9.66796875E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963173,0,56,1.23046875E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963174,0,53,1.1645507812500002E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963174,0,54,1.1865234375000001E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963174,0,52,1.142578125E-5,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963174,0,38,8.349609375E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963174,0,34,7.4707031250000005E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963174,0,34,7.4707031250000005E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963175,0,32,7.03125E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
1545003963190,0,25,5.4931640625E-6,20,53,58,241119,39513,16746022,18986,10032,9563,4217,4263,Tag0,unknown
