timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1545074362835,0,-96,-2.109375E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362835,0,-120,-2.63671875E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362835,0,89,1.95556640625E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362836,0,85,1.86767578125E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362836,0,124,2.724609375E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362836,0,-112,-2.4609375E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362836,0,115,2.52685546875E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362836,0,67,1.4721679687500002E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362836,0,36,7.91015625E-6,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362836,0,39,8.5693359375E-6,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362836,0,64,1.40625E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362837,0,67,1.4721679687500002E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362837,0,41,9.008789062499999E-6,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362837,0,10,2.197265625E-6,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362837,0,10,2.197265625E-6,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362837,0,32,7.03125E-6,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362837,0,27,5.9326171875000005E-6,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362837,0,4,8.7890625E-7,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362837,0,-264,-5.80078125E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362838,0,13,2.8564453125E-6,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362838,0,51,1.1206054687499999E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362842,0,51,1.1206054687499999E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362842,0,25,5.4931640625E-6,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362842,0,18,3.955078125E-6,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362843,0,59,1.29638671875E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362843,0,117,2.5708007812499998E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362859,0,122,2.6806640625E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362859,0,76,1.669921875E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362859,0,38,8.349609375E-6,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362860,0,54,1.1865234375000001E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362860,0,117,2.5708007812499998E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362885,0,-93,-2.04345703125E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
1545074362892,0,-111,-2.43896484375E-5,48,38,47,57986,13969,8928,9320,32203,5337,1625,164,Tag0,unknown
