timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1545011641974,0,85,1.86767578125E-5,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641974,0,59,1.29638671875E-5,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641974,0,23,5.0537109375E-6,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641974,0,26,5.712890625E-6,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641974,0,81,1.77978515625E-5,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641974,0,105,2.30712890625E-5,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641986,0,65,1.42822265625E-5,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641986,0,6,1.318359375E-6,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641988,0,3,6.591796875E-7,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641989,0,59,1.29638671875E-5,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641989,0,109,2.39501953125E-5,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641989,0,85,1.86767578125E-5,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641989,0,27,5.9326171875000005E-6,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641989,0,11,2.4169921875E-6,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641989,0,50,1.0986328125E-5,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011641989,0,84,1.8457031250000004E-5,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011642001,0,71,1.56005859375E-5,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011642002,0,28,6.15234375E-6,44,60,46,220612,16772559,8071,1669,3274,1355,232,790,Tag0,unknown
1545011642023,0,18,3.955078125E-6,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
1545011642035,0,58,1.2744140625E-5,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
1545011642035,0,100,2.197265625E-5,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
1545011642035,0,81,1.77978515625E-5,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
1545011642036,0,34,7.4707031250000005E-6,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
1545011642036,0,16,3.515625E-6,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
1545011642036,0,52,1.142578125E-5,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
1545011642036,0,97,2.13134765625E-5,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
1545011642036,0,84,1.8457031250000004E-5,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
1545011642036,0,34,7.4707031250000005E-6,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
1545011642037,0,4,8.7890625E-7,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
1545011642037,0,17,3.7353515625000003E-6,44,61,46,89017,28780,30516,6542,8354,4345,1858,4765,Tag0,unknown
